"Datum";"Test reactie";"Volledig ingevuld";"Welk cijfer geef je je bezoek aan de Science Day?";"Wat vond je het leukste programma onderdeel en waarom?";"Wat vond je het minst leuke programma onderdeel en waarom?";"Met hoeveel personen heb je Science Day bezocht?";"Wat is de leeftijd van de personen met wie je Science Day hebben bezocht?";"Wat is de nationaliteit van de personen met wie je Science Day hebben bezocht?";"Waarom heb je Science Day bezocht? (meerdere antwoorden mogelijk)";"Heb je al eerder Science Day bezocht?";"Hoe ben je naar Science Day gekomen?";"Wat vond je van het parkeerbeleid?";"Via welk kanaal heb je van de Science Days gehoord?";"In welke mate zou je ons event aanraden aan een vriend of kennis?            ";"Wat zouden wij kunnen doen om de ervaring voor jou te verbeteren in de toekomst?";
"2023.10.23 13:48:35";"N";"Y";"7";"Drones, helaas bijna allemaal aan de oplader.";"Geen, alles was interessant";"4";"39, 45, 8, 12";"Nl, ch";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Anders, namelijk: Kids kennis layen maken met wetenschap";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Neutraal";"Meer bewegwijzering. Nu alles vrij onduidelijk. Beter systeem met tickets voor shows.";
"2023.10.23 13:50:33";"N";"Y";"10";"Robot workshop's ";"Geen, alles leuk";"2";"9";"Nl";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Vond de regeling met Tickets voor de diverse evenementen helemaal top. Een enorme verbetering. Misschien ben ik er voorbij gelopen, maar zou graag een plattegrondje gezien hebben waar de diverse Workshops waren. We hebben ze gevonden, maar was wel even zoeken. We kunnen niet wachten tot volgend jaar. Dikke pluim voor alle medewerkers aan dit evenement!";
"2023.10.23 14:00:10";"N";"Y";"9";"Geen specifieke onderdeel , heel";"";"2";"";"";;;;;;;"";
"2023.10.23 14:01:28";"N";"Y";"9";"Bruggen bouwen van spaghetti en marshmallows. Het testen met gewicht eraan was het leukst.";"In de rij staan, verder was alles leuk!";"3";"7, 10 en 44";"Nederlands ";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Neutraal";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Alles prima";
"2023.10.23 14:02:54";"N";"Y";"8";"Dat de kinderen zelf van alles konden doen en ontdekken";"";"4";"8, 11";"Nl";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Meer eet en koffie tentjes, misschien wat meer foodtrucks";
"2023.10.23 14:07:15";"N";"Y";"10";"Raketten maken";"nvt";"2";"43 en 7";"Duits";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Inschrijven voor de labs moet vereenvoudigd worden (misschien online)";
"2023.10.23 14:16:35";"N";"Y";"8";"De 'mini' workshops waar je zelf wat kan maken zoals bv 'jeans label maken'. Laagdrempelig, niet te moeilijk ook voor wat kleinere kids, en je hoeft je niet in te schrijven/ticket te halen. Gewoon aanschuiven. En het was erg leuk, er stonden leuke en vriendelijke mensen bij die ook erg behulpzaam waren.";"AI photo booth, leuk idee maar slechte uitvoering. Lange rij, weinig toezicht/hulp en soms stond er niemand waardoor het allemaal erg lang duurde.";"4";"39, 38, 8, en 4.";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Neutraal";"anders, namelijk: werk";"Zeker weten";"Meer eten/drinken aanbod. Pin was stuk bij 1 karretje, konden we meteen geen drinken meer kopen want hadden geen cash bij ons.";
"2023.10.23 14:23:06";"N";"Y";"8";"De show van 12 uur, omdat ik de experimenten heel leuk vond";"Dat ik niet naar de robot cursus kon ";"2";"44, 10";"Nederlands";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: ik wil er gaan studeren";"Nee";"Openbaar vervoer";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"De kaartjes op een andere manier uitgeven. Nu waren we even over 11 binnen en de kaartjes voor robot maken waren al op, net zoals veel andere dingen. Misschien van te voren kunnen inschrijven voor bepaalde workshops. Of meer over de dag uitgeven. Of meerdere dagen science day ";
"2023.10.23 14:25:59";"N";"Y";"7";"show ";"";"5 of meer";"8 9 11 31 53";"it, nl, gr";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"";
"2023.10.23 14:30:43";"N";"Y";"7";"Mad Science show";"Green village, was moeilijk om te vinden";"4";"4 7 40 40";"Nederland";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Geschikt voor kinderen";"Nee";"Auto";"Neutraal";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre";"Zeker weten";"Meer activiteiten, meer capaciteit per activiteit";
"2023.10.23 14:31:29";"N";"Y";"10";"Robotje maken";"Tijdgebrek :-)";"3";"8, 12, 42";"Nederlandse ";"Het was een gratis evenement, Interesse in techniek";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 14:32:39";"N";"Y";"8";"Auto in paviljoen Green Village. Echte auto staat er, simpele uitleg aanwezig, en verschllende manieren voor kinderen om zelf te knutselen.";"Projecten die er puur als tentoonstelling stonden. ";"3";"8, 32, 37";"Nederlands";"Interesse in techniek, Anders, namelijk: Verjaardag";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Het was erg leuk maar ook erg druk. Bijna overal waren rijen, waardoor we veel dingen niet hebben kunnen zien. Misschien meerdere dagen volgende jaar? Er waren erg veel leuke onderdelen met goede kindvriendelijke uitleg, waar veel werk in heeft gezeten. Zoiets verdiend wel uitbreiding. Ander dingetje, locatie van tickets/stempels waren onduidelijk.";
"2023.10.23 14:33:39";"N";"Y";"8";"Variëteit van dingen om te doen. En ook voor alle leeftijden. Inhoudelijk was het top!";"Het logistieke gedeelte om het evenement te organiseren kan hier en daar wat beter. Bijvoorbeeld betere bewegwijzering en een ander systeem voor de workshoptickets.";"3";"42; 38; 5";"Nederlands";"Het was een gratis evenement, Interesse in techniek";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Logistiek beter te organiseren. Heb je hulp nodig? Ik help graag met meer dan 10 jaar ervaring in events. archena_s@hotmail.com";
"2023.10.23 14:34:43";"N";"Y";;"Mad Science";"Green Village";"2";"52, 13";"NL";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"";
"2023.10.23 14:40:28";"N";"Y";"9";"Living reef ";"Gratis poffertjes (hele strenge eisen t.a.v. kinderen die erg hun best hadden gedaan op een bijzonder schoon terrein) ";"4";"8, 10, 45, 47";"Nederlandse";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"Misschien tickets voor workshops iets meer gespreid (eerlijkere kans) verdelen ";
"2023.10.23 14:42:59";"N";"Y";"10";"Auto's bouwen";"-";"4";"6-4-volwassenen";"Nederlandse ";"Het was een gratis evenement, Interesse in techniek";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 14:46:25";"N";"Y";"9";"";"";"5 of meer";"4,5,6 7,37 ,36,34,33,66";"Nl";"Interesse in techniek";"Nee";"Fietsend";;"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 15:00:26";"N";"Y";"9";"Spektakel show omdat hij het super leuk deed en de zaal was ook heel fijn (iedereen kon het goed zien)";"Ik vond het eten fijn dat het er was (miste we vorig jaar), maar jammer dat er alleen frietjes waren.";"4";"4,6,36,37";"Nl";"Interesse in techniek";"Ja";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Meer keuze in eten, online per ticket 2 workshops boeken ipv via rij bij balie, leeftijden benoemen bij workshops (dit was nu moeilijk in te schatten), beter karton gebruiken voor stempelkaart (viel er af), ";
"2023.10.23 15:00:58";"N";"Y";"8";"";"";"3";"";"";"Het is in de buurt, Interesse in techniek";"Nee";"Auto";"Neutraal";"familie, vrienden of kenissen";"Zeker weten";"Mogelijkheid om vooraf kaartjes te reserveren voor de activiteiten. Nu waren bij aankomst geen kasrtjes meer te krijgen voor veel shows/workshops ";
"2023.10.23 15:04:41";"N";"Y";"8";"Science centre";"Geen";"4";"11, 15 , 22 , 43";"Turks";"Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"Onder meer dagen verspreiden om drukte te veel drukte te vermijden";
"2023.10.23 15:13:20";"N";"Y";"10";"Mini robot bouwen. Erg leuk en veel opties van iets wat heel klein is!";"Mad Science. De meeste dingen hebben we al gezien .";"3";"11 en 45+";"Nederlanders";"Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Aparte tickets voor de erg gewilde activiteiten was echt een goed idee!! Geen verbeterpunten.";
"2023.10.23 15:23:43";"N";"Y";"10";"Alles wat zo interessant, want ik heb gezien door mijn kids . ";"Wat minst was het de 3D pen , misschien door dat ze moest lang wachten ";"5 of meer";"40 jaar 2 personen, 11 , 9, 2 jaar ";"Polse";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Onduidelijk";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre";"Zeker weten";"Denken meer over parkeerplaats, voor busjes was het heel moeilijk. ";
"2023.10.23 15:27:39";"N";"Y";"10";"Geologie microscopen en kindercollege microbiologie";"Allemaal leuk!";"2";"4";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Openbaar vervoer";;"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 15:32:13";"N";"Y";"9";"";"Niet genoeg ticket voor workshop";"3";"51, 49, 12";"Nederland";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Neutraal";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"online tickets voor workshop.";
"2023.10.23 15:54:45";"N";"Y";"5";"";"";"4";"9, 11";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Neutraal";"Het is te veel mensen, te druk. Tickets zijn al op. Je hebt geen kans om meer dan een activiteit te beleven.";
"2023.10.23 16:14:34";"N";"Y";"10";"Civiele techniek vanwege de workshops, ook Ma Science was heel interactief";"";"4";"5, 7, 36 en 37";"NL, RUS";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 16:18:45";"N";"Y";"10";"De vriendelijke mensen ";"-";"4";"36, 33, 4, 2";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Leuk voor thuisonderwijs kinderen";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 16:31:43";"N";"Y";"9";"Mad science show, erg leuk en informatief.";"Kindercollege het leven is als LEGO, was best moeilijk voor de jongere kinderen. Titel schept andere verwachtingen.";"4";"8-12-42-43";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter), reclameborden in de stad";"Zeker weten";"";
"2023.10.23 16:33:06";"N";"Y";"8";"Accessible, hands on";"Tickets to events gone in second half of event ";"3";"9, adult";"American";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek";"Nee";"Fietsend";;"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 16:39:51";"N";"Y";"10";"";"";"2";"7 en 37";"NL";"Het was een gratis evenement, Anders, namelijk: Ouders hebben aan de TU gestudeerd ";"Nee";"Auto";"Neutraal";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Iets meer laten zien hoe de dingen in elkaar zitten";
"2023.10.23 16:46:53";"N";"Y";"8";"";"";"3";"10, 76 en 78";"Hollanders";"Anders, namelijk: Om kleinzoon dit evenement te laten zien ";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"Niets alles goed ";
"2023.10.23 16:48:22";"N";"Y";"8";"waar je zelf iets kon maken - leuk voor de kinderen";"geen";"3";"3, 7 en 42";"Nederlands";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre, social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"meer horeca / gelegenheid om iets te drinken en eten te kopen";
"2023.10.23 16:56:50";"N";"Y";"6";"";"";"4";"8, 10, 40, 43";"Nederlands ";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"Het was te druk. Het was vooraf niet duidelijk dat er tickets voor de workshops gehaald moesten worden. Stonden we te eachten bij de work, moesten we terug naar de info balie, waar alles al uitverkocht was om 11:45. Dit was echt teleurstellend. ";
"2023.10.23 16:58:21";"N";"Y";"7";"Waste bar vond onze zoon erg leuk";"We zijn niet echt meer in het Science center zelf geweest, dat was te druk";"3";"10, 48, 55";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"Het was op een gegeven moment echt erg druk. En veel workshops/projecten waren toch wat onder het niveau van onze zoon. Boven de 10 met technische kennis heb je veel van die dingen al wel voorbij zien komen en dan val je een beetje in een gat omdat je nog wel iets wilt dóen - je bent nog een kind - maar het aanbod niet matcht. We merken dat overigens ook in musea. Voor onder de 10 veel te doen en dan valt er een gat.";
"2023.10.23 17:13:07";"N";"Y";"8";"robotje maken van de tandenborstel";"regelen van kaartjes voor de workshops, tijdline was niet heel duidelijk, langs wachtrij eenmaal aan de beurt was alles bijna weg";"5 of meer";"8,8,11,11,41,41,51,55";"nederlands";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"betere/meer lunch en drink mogelijkheden. Lange wachtrijen en in combi met de gereserveerde workshops hadden we geen tijd om een drankje/lunch te halen.";
"2023.10.23 17:16:36";"N";"Y";"6";"Studentenprojecten";"Overal knutselen omdat m'n zoon 15 is";"2";"15 en 46";"Nl";"Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Omdat het science center al zo lang dicht is";"Nee";"Anders, namelijk: Afgezet met de auto";;"website TU Delft Science Centre";"Zeker weten";"Een deel van het gebeuren richten op pubers en volwassenen. Misschien een aparte hal vanaf 14 jaar ofzo. Nu leek het wel 1 grote speeltuin. Eigenlijk was het bijna alleen geschikt voor jonge kinderen. ";
"2023.10.23 17:22:18";"N";"Y";"9";"Limonadefabriek. Interessant om water te filteren.";"Dreamhall. Was veel te druk, ik kon nergens bij.";"3";"51 & 52";"Nederlandse";"Interesse in techniek";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Beter bezoekers laten circuleren om opstopping te voorkomen.";
"2023.10.23 17:25:37";"N";"Y";"8";"Raketbouwen";"Nvt";"5 of meer";"10,13,2";"Nederlands ";"Interesse in techniek";"Ja";"Auto";"Duidelijk";"website TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 17:28:01";"N";"Y";"10";"Microrobot maken. Je kon het helemaal zelf maken en mee naar huis nemen. ";"Green village, want daar zijn we niet aan toe gekomen. (We hebben uit tijdnood enkel een stempel gehaald.)";"2";"10 en 40";"Nederlands ";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Openbaar vervoer";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Niets";
"2023.10.23 17:38:15";"N";"Y";"8";"";"";"2";"16";"Nederlands";"Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Vroege orientatie vervolgopleiding";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre";"Waarschijnlijk wel";"Nvt";
"2023.10.23 17:57:56";"N";"Y";"10";"Auto maken";"Regendouche";"3";"7, 44, 49";"Nederlands ";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Dochter van 7 kennis laten maken met techniek en TU ";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre, anders, namelijk: Nationale wetenschapsweekend";"Zeker weten";"Sommige inloopworkshops erg druk misschien die wat ruimer opzetten ";
"2023.10.23 18:08:35";"N";"Y";"10";"Autootje in elkaar zetten met motortje. Hadden mijn dochters nooit gedaan en weet ik zelf ook te weinig van. ";"Wij waren vroeg, maar workshops waren al vol.";"4";"7, 9, 44, 46";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Workshop waar mijn dochter aan deel wilde nemen was te druk. We kregen te horen dat we later terug moesten komen en toen waren de materialen op. Ik begrijp dit, mijn dochter iets minder ;-)";
"2023.10.23 18:13:34";"N";"Y";"9";"Swarm of Drones: Leuk om iets geprogrammeerd te zien bewegen";"Eerlijk gezegd, niets :-)";"1";"28";"Italië";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Lopend";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Alles was erg leuk en goed georganiseerd!";
"2023.10.23 18:29:02";"N";"Y";"8";"Mad science";"";"3";"8,43,52";"Nederlands, iraans";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre";"Waarschijnlijk wel";"Kaartjes voor activiteiten via website kunnen reserveren ";
"2023.10.23 18:55:06";"N";"Y";"7";"Dreamhall";"";"3";"14 53 56";"Nederlands";"Het is in de buurt, Interesse in techniek";;"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"Denk dat de doelgroep ouder moet zijn. Juist kinderen op het VO zijn bezig met keuzes maken voor de toekomst.";
"2023.10.23 19:31:02";"N";"Y";"9";"The practical workshops";"To stay in a long line to choose the workshops";"1";"10";"Brazil";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Fietsend";;"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre, reclameborden in de stad";"Zeker weten";"Make the workshop selection on-line before granting the ticket";
"2023.10.23 19:35:04";"N";"Y";"8";"3D oen";"";"4";"";"";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 19:42:31";"N";"Y";"9";"Byor, lekker creatieve en leerzaam";"";"2";"38 en 12";"Nederlandse ";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre, social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"De kaartjes voor de workshops werkte niet echt. Wij waren er vroeg, maar mensen die later waren stonden in een hele lange rij. Hierdoor kon je ook niet goed bij de stands die daar stonden.";
"2023.10.23 19:47:11";"N";"Y";"10";"Autootje bouwen met batterijen en daarna kijken hoe snel hij reed (ik weet niet precies hoe het onderdeel heet maar het was binnen in  The Green Village)";"";"3";"7";"Nederlands";"Interesse in techniek";"Nee";"Auto";"Neutraal";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Niets. Weinig onderdelen gedaan, want kinderen waren hier 2,5 uur bezig. Uitleg van de meneer bij de mineralen (civiele techniek) ook het vermelden waard, zeer enthousiaste man met veel leuke feiten. Over het algemeen: zeer, zeer enthousiaste studenten en docenten, veel te doen, topdag gehad";
"2023.10.23 19:52:21";"N";"Y";"8";"De hyperloop en het gebouw met de dreamteams, ik wist niet dat die daar was";"De drukte";"3";"42, 41 en 13 jaar";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Drukte iets meer managen";
"2023.10.23 20:04:24";"N";"Y";"10";"Mad Science ";"Alles was leuk ";"4";"7/11/43/46";"Brits/ Nederlanda";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Mischien minder volwassenen toelaten. Dus 1 volwassenen met 1 of meer kinderen.  Vaak stonden de volwassen in de weg van de kinderen en namen natuurlijk plekken in bij de workshops.  Je hoeft als ouders moet beide mee. ";
